sid,sub,pid,pred,oid,obj,class,score,time,softmaxscore
392035.0,dbr:Al_Attles,599,dbo:team,2115741.0,dbr:Golden_State_Warriors,1,0.08770647675211671,15.89971399307251,0.261508845046463
392035.0,dbr:Al_Attles,599,dbo:team,4119746.0,dbr:Phoenix_Suns,0,0.027832165401832615,12.03408408164978,0.24631071199865742
392035.0,dbr:Al_Attles,599,dbo:team,917821.0,dbr:Boston_Celtics,0,0.026907382323026023,12.360053062438965,0.24608303331299655
392035.0,dbr:Al_Attles,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.02696580125899286,14.200273036956787,0.246097409641883
482030.0,dbr:Allen_Leavell,599,dbo:team,2364618.0,dbr:Houston_Rockets,1,0.1756144383161446,4.6646668910980225,0.27758902628067417
482030.0,dbr:Allen_Leavell,599,dbo:team,1487110.0,dbr:Detroit_Pistons,0,0.031593129233751446,6.249858856201172,0.24035581503568373
482030.0,dbr:Allen_Leavell,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.030222170691954656,7.382534980773926,0.24002652295246327
482030.0,dbr:Allen_Leavell,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.038528789778056,6.920815944671631,0.24202863573117883
494082.0,dbr:Alvan_Adams,599,dbo:team,4119746.0,dbr:Phoenix_Suns,1,0.15604630316485749,6.378821134567261,0.27455692914661567
494082.0,dbr:Alvan_Adams,599,dbo:team,2450828.0,dbr:Indiana_Pacers,0,0.030862505775895256,8.263008117675781,0.24225111034142133
494082.0,dbr:Alvan_Adams,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.026629247148392193,8.916799068450928,0.24122776630676226
494082.0,dbr:Alvan_Adams,599,dbo:team,3516612.0,dbr:Miami_Heat,0,0.02967742894290181,9.030815839767456,0.2419641942052007
846737.0,dbr:Bill_Bradley,599,dbo:team,3782014.0,dbr:New_York_Knicks,1,0.03744626317910065,17.979169845581055,0.2529928877567074
